排名,关键词,数量,百分比
1,Googlebot,1,3.5714
2,Bingbot,0,0.0
3,Yahoo,0,0.0
4,Slurp,0,0.0
5,Baiduspider,0,0.0
6,YandexBot,0,0.0
7,DuckDuckBot,0,0.0
8,Sogou web spider,0,0.0
9,Exabot,0,0.0
10,FacebookBot,0,0.0
11,Twitterbot,0,0.0
12,LinkedInBot,0,0.0
13,Pinterestbot,0,0.0
14,Applebot,0,0.0
15,MJ12bot,0,0.0
16,AhrefsBot,0,0.0
17,SemrushBot,0,0.0
18,RamblerBot,0,0.0
19,DotBot,0,0.0
20,BingPreview,0,0.0
21,YandexImages,0,0.0
22,Screaming Frog SEO Spider,0,0.0
23,SeznamBot,0,0.0
24,Embedly,0,0.0
25,Slackbot,0,0.0
26,TelegramBot,0,0.0
27,WhatsApp,0,0.0
28,Discordbot,0,0.0
29,360Spider,0,0.0
30,MSNBOT,0,0.0
31,NaverBot,0,0.0
32,Gigabot,0,0.0
33,YandexMobileBot,0,0.0
34,FacebookExternalHit,0,0.0
35,Pinterest,0,0.0
36,Ask Jeeves/Teoma,0,0.0
37,Alexa Crawler,0,0.0
38,YodaoBot,0,0.0
39,ia_archiver,0,0.0
40,CoccocBot,0,0.0
41,Vsekorakhiver,0,0.0
42,voilabot,0,0.0
43,mail.ru_bot,0,0.0
44,NZZ3,0,0.0
45,TurnitinBot,0,0.0
46,ScopeusBot,0,0.0
47,GrapeshotCrawler,0,0.0
48,Curalab,0,0.0
49,SiteBot,0,0.0
50,SitebeamBot,0,0.0
51,SEOstats Crawler,0,0.0
52,Butterfly Collector,0,0.0
53,Genieo Web filter,0,0.0
54,InfoSeek Robot 1.0,0,0.0
55,W3 SiteSearch Crawler,0,0.0
56,ZoomSpider.net,0,0.0
57,Ezooms,0,0.0
58,Teoma,0,0.0
59,Scooter,0,0.0
60,WebAlta Crawler,0,0.0
61,Alexa Media Crawler,0,0.0
62,MojeekBot,0,0.0
63,BLEXBot,0,0.0
64,YandexSomething,0,0.0
65,CrawllyBot,0,0.0
66,Wotbox,0,0.0
67,SiteExplorer.com,0,0.0
68,sogou spider,0,0.0
69,sogou news spider,0,0.0
70,sogou orion spider,0,0.0
71,sogou pic spider,0,0.0
72,sogou video spider,0,0.0
