排名,关键词,数量,百分比
1,Safari,24,85.7143
2,Chrome,23,82.1429
3,Firefox,4,14.2857
4,Internet Explorer,0,0.0
5,Edge,0,0.0
6,Edg,0,0.0
7,Opera,0,0.0
8,Brave,0,0.0
9,BIDUBrowser,0,0.0
10,UCBrowser,0,0.0
11,SamsungBrowser,0,0.0
12,Maxthon,0,0.0
13,Netscape,0,0.0
14,Konqueror,0,0.0
15,SeaMonkey,0,0.0
16,Camino,0,0.0
17,MSIE,0,0.0
18,PaleMoon,0,0.0
19,Waterfox,0,0.0
20,Vivaldi,0,0.0
21,Avant Browser,0,0.0
22,Yandex,0,0.0
23,Epic Privacy Browser,0,0.0
24,Torch,0,0.0
25,SlimBrowser,0,0.0
26,Midori,0,0.0
27,Dolphin,0,0.0
28,Puffin,0,0.0
29,Silk,0,0.0
30,BlackBerry,0,0.0
31,IE Mobile,0,0.0
32,Android Browser,0,0.0
33,Chrome Mobile,0,0.0
34,Opera Mini,0,0.0
35,UCWEB,0,0.0
36,QQBrowser,0,0.0
37,QQ,0,0.0
38,Tor Browser,0,0.0
39,Comodo Dragon,0,0.0
40,Sogou Explorer,0,0.0
41,360 Browser,0,0.0
42,Baidu Browser,0,0.0
43,Samsung Internet,0,0.0
44,Opera Coast,0,0.0
45,Opera GX,0,0.0
46,Brave Mobile,0,0.0
47,Firefox Focus,0,0.0
48,Firefox Reality,0,0.0
49,Microsoft Internet Explorer,0,0.0
50,Microsoft Edge Mobile,0,0.0
51,Chromium,0,0.0
52,Seamonkey,0,0.0
53,K-Meleon,0,0.0
54,Avast Secure Browser,0,0.0
55,Bitwarden Authenticator,0,0.0
56,Brave Shields,0,0.0
57,Brave Rewards,0,0.0
58,CentBrowser,0,0.0
59,Coc Coc,0,0.0
60,Comodo IceDragon,0,0.0
61,Disruptor Browser,0,0.0
62,GreenBrowser,0,0.0
63,Iridium Browser,0,0.0
64,K-Ninja,0,0.0
65,Kiwi Browser,0,0.0
66,Lunascape,0,0.0
67,Maxthon Cloud Browser,0,0.0
68,Orbitum,0,0.0
69,QupZilla,0,0.0
70,Slimjet,0,0.0
71,SRWare Iron,0,0.0
72,Torch Browser,0,0.0
73,UCWeb Browser,0,0.0
74,Vivaldi Snapshot,0,0.0
75,Xombrero,0,0.0
76,Opera GX Gaming Browser,0,0.0
77,Opera Touch,0,0.0
78,Brave Browser for Android,0,0.0
79,Firefox for Android,0,0.0
80,Chrome for Android,0,0.0
81,Edge for Android,0,0.0
82,Samsung Internet for Android,0,0.0
83,UC Browser for Android,0,0.0
84,QQ Browser for Android,0,0.0
85,Brave Browser for iOS,0,0.0
86,Firefox for iOS,0,0.0
87,Safari for iOS,0,0.0
88,Opera for iOS,0,0.0
89,Opera Coast for iOS,0,0.0
90,Puffin Browser,0,0.0
91,Dolphin Browser,0,0.0
92,CM Browser,0,0.0
93,Flynx Browser,0,0.0
94,Ghostery Browser,0,0.0
95,Maxthon Browser,0,0.0
96,Opera Mini for Windows,0,0.0
97,Perfect Browser,0,0.0
98,Photon Browser,0,0.0
